aardvark;mrówkojad
inquisitor;inkwizytor
inquisitorial;inkwizytorski
inquisitorially;inquisitorially
inquisitors;inkwizytorzy
inquorate;inquorate
inroad;podjazd
inroads;inroads
inrush;napór
ins;ins
insalubrious;niezdrowy
insane;szalony
insanely;szalenie
insanitary;niezdrowy
insanities;szaleństwa
insanity;niepoczytalność
insatiable;nienasycony
insatiably;nienasycenie
inscribe;wpisać
inscribed;wpisany
inscribing;wpisowy
inscription;napis
inscriptions;napisy
inscrutability;niepoznawalność
inscrutable;tajemniczy
inscrutably;inscrutably
insect;owad
insecticidal;owadobójcze
insecticide;środek owadobójczy
insecticides;insektycydy
insectivores;owadożerne
insectivorous;owadożerny
insects;owady
insecure;niepewny
insecurely;niezabezpieczony
insecurities;niepewność
insecurity;niepewność
insemination;zapłodnienie
insensibility;nieczułość
insensible;nieczuły
insensibly;nieznacznie
insensitive;niewrażliwy
insensitively;insensitively
insensitivity;niewrażliwość
inseparable;nierozerwalny
inseparably;nierozerwalnie
insert;wstawić
inserted;włożona
inserting;wkładanie
insertion;wprowadzenie
insertions;wstawki
inserts;wkładki
inset;wstawka
insets;wstawki
inshore;przybrzeżne
inside;wewnątrz
insideout;na lewą stronę
insider;wtajemniczony
insiders;wtajemniczeni
insides;wnętrzności
insidious;podstępny
insidiously;podstępnie
insight;wgląd
insightful;wnikliwe
insights;spostrzeżenia
insignia;insygnia
insignificance;znikomość
insignificant;nieistotny
insignificantly;nieznacznie
insincere;nieszczery
insincerely;fałszywie
insincerity;nieszczerość
insinuate;insynuować
insinuated;insinuated
insinuating;przymilny
insinuatingly;dwuznacznie
insinuation;insynuacja
insinuations;insynuacje
insipid;mdły
insist;obstawać
insisted;nalegał
insistence;naleganie
insistent;natarczywy
insistently;usilnie
insisting;nalegając
insists;nalega
insofar;o ile
insole;brandzel
insolence;bezczelność
insolent;bezczelny
insolently;bezczelnie
insolubility;nierozpuszczalność
insoluble;nierozpuszczalny
insolvencies;upadłości
insolvency;niewypłacalność
insolvent;niewypłacalny
insomnia;bezsenność
insomniac;insomniac
insomniacs;bezsenność
insouciance;beztroska
insouciant;insouciant
inspect;sprawdzać
inspected;sprawdzony
inspecting;dozorujący
inspection;kontrola
inspections;kontrole
inspector;inspektor
inspectorate;inspektorat
inspectorates;inspektoraty
inspectors;inspektorzy
inspects;kontroluje
inspiration;inspiracja
inspirational;inspirujący
inspirations;inspiracje
inspire;inspirować
inspired;natchniony
inspires;inspiruje
inspiring;inspirowanie
instabilities;niestabilności
instability;niestabilność
install;zainstalować
installable;instalowanego
installation;instalacja
installations;instalacje
installed;zainstalowany
installer;instalator
installers;instalatorzy
installing;instalowanie
installs;instalacje
instalment;rata
instalments;raty
instance;instancja
instanced;instanced
instances;instancje
instancy;nagłość
instant;natychmiastowy
instantaneous;natychmiastowy
instantaneously;momentalnie
instantiate;instancję
instantiated;instancja
instantiates;instancję
instantiating;instancji
instantiation;instancji
instantiations;dawałaby
instantly;natychmiast
instants;momentami
instated;instated
instead;zamiast
instep;podbicie
insteps;supinatory
instigate;podżegać
instigated;wszczęte
instigates;podżega
instigating;namawianie
instigation;podżeganie
instigator;podżegacz
instigators;inicjatorami
instil;zaszczepić
instillation;wpojenie
instilled;zaszczepił
instilling;wpajania
instills;wpaja
instils;zaszczepia
instinct;instynkt
instinctive;instynktowny
instinctively;instynktownie
instincts;instynkt
instinctual;instynktowne
institute;instytut
instituted;wszczętych
institutes;instytuty
instituting;wszczęte
institution;instytucja
institutional;instytucjonalne
institutionalisation;instytucjonalizacja
institutionalise;instytucjonalizować
institutionalised;zinstytucjonalizowany
institutionalising;instytucjonalizacja
institutionalism;instytucjonalizm
institutionally;instytucjonalnie
institutions;instytucje
instruct;pouczać
instructed;poinstruowany
instructing;instruuje
instruction;instrukcja
instructional;instrukcyjny
instructions;instrukcje
instructive;pouczający
instructor;instruktor
instructors;instruktorzy
instructs;przesyła zlecenie
instrument;instrument
instrumental;instrumentalny
instrumentalist;instrumentalista
instrumentalists;instrumentaliści
instrumentality;środek
instrumentally;instrumentalnie
instrumentals;instrumentalne
instrumentation;oprzyrządowanie
instrumented;instrumented
instruments;instrumenty
insubordinate;nieposłuszny
insubordination;niesubordynacja
insubstantial;nieistotny
insufferable;nieznośny
insufferably;nieznośnie
insufficiency;niewydolność
insufficient;niewystarczający
insufficiently;niedostatecznie
insulant;insulant
insular;wyspiarski
insularity;zaściankowość
insulate;izolować
insulated;bezludny
insulates;izoluje
insulating;izolacyjny
insulation;izolacja
insulator;izolator
insulators;izolatory
insulin;insulina
insult;zniewaga
insulted;znieważony
insulter;insulter
insulting;obraźliwy
insultingly;obraźliwie
insults;obelgi
insuperable;niepokonany
insupportable;nie do zniesienia
insurance;ubezpieczenie
insurances;ubezpieczenia
insure;ubezpieczać
insured;ubezpieczony
insurer;ubezpieczający
insurers;ubezpieczyciele
insures;dostawca zapewnia
insurgency;powstanie przeciw władzy
insurgent;powstaniec
insurgents;powstańcy
insuring;ubezpieczający
insurmountable;nie do pokonania
insurmountably;insurmountably
insurrection;insurekcja
insurrectionary;powstańczy
insurrections;powstań
intact;nienaruszony
intaglio;intaglio
intake;wlot
intakes;wloty
intangible;nieuchwytny
intangibles;wartości niematerialne
integer;liczba całkowita
integers;całkowitymi
integrability;całkowalność
integrable;zabudowy
integral;całka
integrally;w całości
integrals;całki
integrand;podcałkowa
integrands;podcałkowych
integrate;zintegrować
integrated;zintegrowany
integrates;integruje
integrating;integracji
integration;integracja
integrationist;integracjonistycznemu
integrations;integracje
integrative;integracyjny
integrator;integrator
integrators;integratorów
integrity;integralność
intellect;intelekt
intellects;intelekty
intellectual;intelektualny
intellectualism;intelektualizm
intellectuality;umysłowość
intellectually;umysłowo
intellectuals;intelektualiści
intelligence;inteligencja
intelligences;inteligencje
intelligent;inteligentny
intelligently;inteligentnie
intelligentsia;inteligencja
intelligibility;zrozumiałość
intelligible;zrozumiały
intelligibly;zrozumiały
intemperance;nieumiarkowanie
intemperate;bez umiaru
intend;zamierzać
intended;zamierzony
intending;zamierzając
intends;zamierza
intense;intensywny
intensely;mocno
intensification;intensyfikacja
intensified;wzmożony
intensifies;intensyfikuje
intensify;zintensyfikować
intensifying;intensyfikację
intensities;intensywność
intensity;intensywność
intensive;intensywny
intensively;intensywnie
intent;zamiar
intention;zamiar
intentional;zamierzony
intentionality;intencjonalność
intentionally;celowo
intentioned;intencjach
intentions;intencje
intently;uważnie
intentness;przejęcie
intents;zamiary
inter;pochować
interact;oddziaływać
interacted;oddziaływały
interacting;interakcji
interaction;interakcja
interactional;interakcyjna
interactions;interakcje
interactive;interaktywny
interactively;interaktywnie
interactiveness;interaktywność
interacts;współdziała
interatomic;międzyatomowy
interbank;międzybankowych
interbred;krzyżował
interbreed;krzyżować
interbreeding;krzyżowania
intercede;interweniować
interceded;wstawiał
interceding;wstawiając
intercept;przechwycić
intercepted;przechwycone
intercepting;przechwytując
interception;przechwycenie
interceptions;przechwytywanie
interceptor;interceptor
interceptors;przechwytujące
intercepts;przechwytuje
intercession;wstawiennictwo
intercessions;błagania
interchange;wymieniać
interchangeability;wymienność
interchangeable;wymienny
interchangeably;zamiennie
interchanged;zamieniać
interchanges;węzły
interchanging;zamianę
intercity;międzymiastowy
intercollegiate;międzyuczelniany
intercom;awiofon
intercommunicate;komunikować się
intercommunication;kontakt
interconnect;połączyć się
interconnected;wzajemnie
interconnectedness;wzajemne powiązania
interconnecting;przechodnia
interconnection;korelacja
interconnections;połączenia
interconnects;interkonekty
intercontinental;międzykontynentalny
interconversion;przemiana
intercountry;międzynarodowego,
intercourse;stosunek płciowy
intercut;wcięcie
interdenominational;interdenominational
interdepartmental;międzywydziałowy
interdependence;współzależność
interdependency;współzależność
interdependent;współzależny
interdict;interdykt
interdicted;interdicted
interdisciplinary;interdyscyplinarny
interest;zainteresowanie
interested;zainteresowany
interestedly;interestedly
interesting;ciekawy
interestingly;co ciekawe
interests;zainteresowania
interface;berło
interfaced;ssp
interfaces;interfejsy
interfacing;relacje
interfere;kolidować
interfered;ingerować
interference;ingerencja
interferences;interferencja
interferer;zakłócającym
interferes;zakłóca
interfering;wścibski
interferometer;interferometr
interferometers;interferometr
interferometric;interferometryczną
interferometry;interferometrii
interferon;interferon
intergalactic;międzygalaktyczny
interglacial;międzylodowcowy
intergovernmental;międzyrządowa
interim;tymczasowy
interims;śródrocznych
interior;wnętrze
interiors;wnętrza
interject;wtrącić
interjected;wtrącił
interjecting;wtrącając
interjection;wykrzyknik
interjectional;interjectional
interjections;wykrzykniki
interjects;wtrąca
interlace;przeplatać
interlaced;przeplotem
interlacing;przeplotu
interlap;interlap
interleave;przekładać
interleaved;przeplatany
interleaves;przeplata
interleaving;przeplatanie
interlingual;międzyjęzykowej
interlinked;ze sobą powiązane
interlock;splatać
interlocked;zablokowane
interlocking;blokujące
interlocks;blokady
interlocutor;rozmówca
interlocutors;rozmówcy
interlocutory;tymczasowy
interloper;intruz
interlopers;intruz
interlude;interludium
interludes;przerywniki
intermarriage;małżeństwo pomiędzy krewnymi
intermarriages;intermarriages
intermediaries;pośrednicy
intermediary;pośrednik
intermediate;pośredni
intermediates;półprodukty
interment;pogrzebanie zwłok
interments;interments
interminable;nie kończący się
interminably;nieskończoność
intermingled;wymieszane
intermingling;przenikanie
intermission;przerwa
intermissions;przerwami
intermittent;przerywany
intermittently;z przerwami
intermix;mieszać
intermixed;wymieszane
intermixing;intermixing
intermolecular;międzycząsteczkowych
intern;stażysta
internal;wewnętrzny
internalisation;internalizacja
internalise;internalizować
internalised;zinternalizowanym
internalises;internalizuje
internalising;internalizacji
internally;wewnętrznie
internals;wewnętrzne
international;międzynarodowy
internationalisation;umiędzynarodowienie
internationalised;zinternacjonalizowany
internationalism;internacjonalizm
internationalist;internacjonalistyczny
internationalists;internacjonalistów
internationally;międzynarodowo
internationals;internationals
interned;internowani
internees;internowani
internet;internet
interning;interning
internment;internowanie
internments;internments
interns;stażyści
internuclear;internuclear
interocular;interocular
interoperability;interoperacyjność
interoperable;interoperacyjne
interpellation;interpelacja
interpenetration;przenikanie
interpersonal;interpersonalna
interplanetary;międzyplanetarny
interplay;wzajemne oddziaływanie
interplays;interplays
interpolatable;interpolatable
interpolate;interpolować
interpolated;interpolowana
interpolates;interpoluje
interpolating;interpolację
interpolation;interpolacja
interpolations;interpolacje
interpose;wstawić
interposed;wstawione
interposes;stawający
interposing;wstawienie
interposition;wstawienie
interpret;interpretować
interpretable;interpretacji
interpretation;interpretacja
interpretational;interpretacyjne
interpretations;interpretacje
interpretative;interpretacyjny
interpreted;interpretować
interpreter;interpretator
interpreters;tłumacze
interpreting;interpretacja
interpretive;interpretacyjny
interpretively;interpretacyjnie
interprets;interpretuje
interracial;interracial
interred;interred
interregnum;interregnum
interrelate;wzajemne relacje
interrelated;powiązane
interrelatedness;wzajemne powiązanie
interrelation;wzajemne powiązanie
interrelations;wzajemne
interrelationship;współzależność
interrelationships;współzależności
interrogate;przesłuchać
interrogated;przesłuchiwany
interrogates;przepytuje
interrogating;przesłuchiwać
interrogation;przesłuchanie
interrogations;przesłuchania
interrogative;badawczy
interrogatively;interrogatively
interrogatives;interrogatives
interrogator;śledczy
interrogators;przesłuchujący
interrogatory;śledztwo
interrupt;przerwać
interrupted;przerwane
interruptibility;ciągłość dostaw
interrupting;przerywania
interruption;przerwanie
interruptions;przerwy
interrupts;przerwania
intersect;krzyżować
intersected;przecięte
intersecting;krzyżujący
intersection;skrzyżowanie
intersections;przecięcia
intersects;przecina
intersperse;przeplatać
interspersed;przeplatane
intersperses;przeplata
interspersing;przeplatając
interstellar;międzygwiezdny
interstices;interstices
interstitial;śródmiąższowy
interstitially;śródmiąższowo
intertidal;międzypływowej
intertwine;przeplatać
intertwined;przeplatany
intertwining;przeplatając
interval;interwał
intervals;okresy
intervene;interweniować
intervened;interweniował
intervenes;interweniuje
intervening;interweniując
intervention;interwencja
interventionism;interwencjonizm
interventionist;interwencyjny
interventions;interwencje
interview;wywiad
interviewed;wywiad
interviewee;respondent
interviewees;rozmówcy
interviewer;przeprowadzający wywiad
interviewers;ankieterzy
interviewing;wywiady
interviews;wywiady
interweaving;przeplatający się
interwoven;przeplatają
intestacy;dziedziczenie ustawowe
intestate;bez testamentu
intestinal;jelitowy
intestine;jelito
intestines;jelita
intifada;intifada
intimacies;intymność
intimacy;intymność
intimate;intymny
intimated;intimated
intimately;intymnie
intimates;bliscy
intimating;intimating
intimation;zawiadomienie
intimations;intimations
intimidate;zastraszyć
intimidated;zastraszyć
intimidates;zastrasza
intimidating;zastraszające
intimidation;zastraszenie
intimidatory;zastraszania
into;w
intolerable;nie do zniesienia
intolerably;nieznośnie
intolerance;nietolerancja
intolerant;nietolerancyjny
intonation;intonacja
intonational;intonational
intonations;intonacje
intone;intonować
intoned;zaintonował
intones;intonuje
intoning;intonując
intoxicant;trunek
intoxicants;odurzające
intoxicate;upajać
intoxicated;odurzony
intoxicating;upojny
intoxication;zatrucie
intracellular;wewnątrzkomórkowe
intractability;krnąbrność
intractable;trudny
intractably;nierozerwalnie
intramural;śródścienny
intramuscular;domięśniowy
intransigence;bezkompromisowość
intransigent;nieprzejednany
intransitive;nieprzechodni
intrauterine;wewnątrzmaciczne
intravenous;dożylny
intravenously;dożylnie
intrepid;nieustraszony
intrepidly;nieustraszenie
intricacies;zawiłości
intricacy;zawiłość
intricate;zawiły
intricately;misternie
intrigue;intryga
intrigued;intryguje
intrigues;machinacje
intriguing;intrygancki
intriguingly;intrygująco
intrinsic;wewnętrzny
intrinsically;samoistnie
intro;intro
introduce;przedstawiać
introduced;wprowadzono
introduces;wprowadza
introducing;wprowadzenie
introduction;wprowadzenie
introductions;wstępy
introductory;wprowadzający
introspection;introspekcja
introspective;introspekcyjny
introspectively;introspekcyjnie
introversion;introwercja
introvert;introwertyk
introverted;zamknięty w sobie
introverts;introwertycy
intrude;niepokoić
intruded;wtargnięcie
intruder;intruz
intruders;intruzi
intrudes;wkracza
intruding;narzucali
intrusion;wtargnięcie
intrusions;włamań
intrusive;natrętny
intrusiveness;wszechobecność konieczne
intuited;przeczuwał
intuition;intuicja
intuitionist;intuicjonisty
intuitions;intuicje
intuitive;intuicyjny
intuitively;intuicyjnie
intuitiveness;intuicyjność
inuit;inuit
inuits;inuici
inundate;zalać
inundated;zalewani
inundation;zalanie
inure;obowiązywać
inured;inured
invade;najechać
invaded;najechał
invader;najeźdźca
invaders;najeźdźcy
invades;atakuje
invading;inwazji
invalid;nieważny
invalidate;unieważnić
invalidated;unieważnione
invalidates;unieważnia
invalidating;unieważniania
invalidation;unieważnienie
invalided;inwalidę
invalidity;nieważność
invalids;inwalidów
invaluable;nieoceniony
invariable;niezmienny
invariably;niezmiennie
invariance;niezmienność
invariant;niezmienny
invariants;niezmienniki
invasion;inwazja
invasions;inwazje
invasive;zaborczy
invective;inwektywa
invectives;inwektywy
inveigh;pomstować
inveighing;inveighing
inveigle;skusić
inveigled;zachęcany
inveigler;inveigler
inveiglers;inveiglers
inveigling;inveigling
invent;wymyślać
invented;zmyślony
inventing;wynalezienie
invention;wynalazek
inventions;wynalazki
inventive;wynalazczy
inventively;wynalazkiem
inventiveness;pomysłowość
inventor;wynalazca
inventories;zapasy
inventors;twórcy
inventory;inwentarz
invents;wynajduje
inverse;odwrotność
inversely;odwrotnie
inverses;odwrotności
inversion;inwersja
inversions;inwersje
invert;odwracać
invertebrate;bezkręgowy
invertebrates;bezkręgowce
inverted;odwrotny
inverter;falownik
inverters;falowniki
invertible;odwracalny
inverting;odwracającego
inverts;odwraca
invest;inwestować
invested;zainwestowany
investigate;zbadać
investigated;zbadane
investigates;bada
investigating;śledztwo
investigation;dochodzenie
investigations;badania
investigative;badawczy
investigator;badacz
investigators;badacze
investigatory;badawczy
investing;inwestowanie
investiture;inwestytura
investment;inwestycja
investments;inwestycje
investor;inwestor
investors;inwestorów
invests;inwestuje
inveterate;nałogowy
invidious;nienawistny
invigilate;nadzorować
invigilated;inwigilowany
invigilating;invigilating
invigilator;invigilator
invigilators;nadzorującym
invigorate;orzeźwiać
invigorated;wzmocnionej
invigorating;ożywczy
invigoratingly;invigoratingly
invincibility;nieśmiertelność
invincible;niezwyciężony
inviolability;nienaruszalność
inviolable;nienaruszalny
inviolate;nietknięty
inviscid;nielepki
invisibilities;invisibilities
invisibility;niewidzialność
invisible;niewidzialny
invisibles;niewidzialni
invisibly;niewidoczny
invitation;zaproszenie
invitations;zaproszenia
invite;zapraszam
invited;zaproszony
invites;zaproszenia
inviting;atrakcyjny
invitingly;apetycznie
invocation;wezwanie
invocations;modły
invoice;faktura
invoiced;zafakturowanymi
invoices;faktury
invoicing;fakturowanie
invokable;invokable
invoke;odwołać się
invoked;wywoływany
invoker;invoker
invokers;invokers
invokes;wywołuje
invoking;wywoływanie
involuntarily;odruchowo
involuntary;mimowolny
involute;spiralny
involution;inwolucja
involutions;inwolucja
involve;angażować
involved;zaangażowany
involvement;uwikłanie
involvements;powiązaniach
involves;obejmuje
involving;udziałem
invulnerability;nieśmiertelność
invulnerable;niewrażliwy
inward;wewnętrzny
inwardly;wewnętrznie
inwardness;duchowość
inwards;do wewnątrz
iodide;jodek
iodine;jod
ion;jon
ionian;joński
ionic;joński
ionisation;jonizacja
ionise;jonizacji
ionised;zjonizowane
ionising;jonizującego
ionosphere;jonosfera
ionospheric;jonosferyczna
ions;jony
iota;odrobina
iotas;iotas
iran;iran
iranian;irański
iranians;irańczycy
iraq;irak
iraqi;iracki
iraqis;irakijczycy
irascibility;popędliwość
irascible;krewki
irascibly;irascibly
irate;zirytowany
ire;gniew
ireland;irlandia
iridescence;opalizowanie
iridescent;opalowy
iridium;iryd
iris;irys
irises;irysy
irish;irlandzki
irishman;irlandczyk
irishmen;irlandczycy
irk;drażnić
irked;irked
irking;irking
irks;irytuje
irksome;nieprzyjemny
irksomeness;uprzykrzenie
iron;żelazo
ironage;epoka żelaza
ironed;wyprasowany
ironic;ironiczny
ironical;ironiczny
ironically;ironicznie
ironies;ironia
ironing;prasowanie
ironlady;żelazna dama
ironmonger;sprzedawca wyrobów żelaznych
ironmongers;artykułami metalowymi
ironmongery;ironmongery
irons;okowy
ironstone;ironstone
ironwork;ślusarstwo
ironworks;huta
irony;ironia
irradiate;naświetlać
irradiated;napromieniowane
irradiating;napromieniowanie
irradiation;naświetlanie
irrational;irracjonalny
irrationalities;irracjonalności
irrationality;irracjonalność
irrationally;absurdalnie
irreconcilable;nie do pogodzenia
irrecoverable;nie do odzyskania
irrecoverably;bezpowrotnie
irredeemable;beznadziejny
irredeemably;nieodwracalnie
irreducibility;nieredukowalność
irreducible;nieskracalny
irreducibly;nieredukowalnie
irrefutable;niezbity
irregular;nieregularny
irregularities;nieprawidłowości
irregularity;nieprawidłowość
irregularly;nieprawidłowo
irregulars;nieregularne
irrelevance;niestosowność
irrelevances;irrelevances
irrelevancy;nieposiadanie znaczenia
irrelevant;nieistotny
irrelevantly;nieodpowiednio
irreligious;niereligijny
irremediable;nie do naprawienia
irremovable;nieusuwalny
irreparable;nie do naprawienia
irreparably;nieodwracalnie
irreplaceable;niezastąpiony
irrepressible;niepohamowany
irrepressibly;niepohamowanie
irreproachable;bez zarzutu
irreproachably;bez zarzutu
irresistible;nieodparty
irresistibly;nieodparcie
irresolute;niezdecydowany
irresolutely;niezdecydowanie
irresolution;niezdecydowanie
irresolvable;nierozwijalny
irrespective;niezależny
irrespectively;niezależnie
irresponsibility;nieodpowiedzialność
irresponsible;nieodpowiedzialny
irresponsibly;nieodpowiedzialnie
irretrievable;bezpowrotny
irretrievably;bezpowrotnie
irreverence;brak szacunku
irreverent;lekceważący
irreverently;lekceważąco
irreversibility;nieodwracalność
irreversible;nieodwracalny
irreversibly;nieodwracalnie
irrevocable;nieodwołalny
irrevocably;bezpowrotnie
irrigate;nawadniać
irrigated;nawadniane
irrigating;nawadnianie
irrigation;nawadnianie
irritability;drażliwość
irritable;drażliwy
irritably;popędliwie
irritant;drażniący
irritants;drażniące
irritate;irytować
irritated;poirytowany
irritatedly;irytacją
irritates;drażni
irritating;irytujący
irritatingly;irytująco
irritation;podrażnienie
irritations;podrażnienie
irrupted;irrupted
irruption;wdarcie się
is;jest
isis;isis
islam;islam
islamic;islamski
island;wyspa
islander;wyspiarz
islanders;wyspiarze
islands;wyspy
isle;wyspa
isles;isles
islet;wysepka
islets;wysepki
isms;izmy
isnt;isnt
isobar;izobara
isobars;izobary
isogram;isogram
isolate;izolować
isolated;odosobniony
isolates;izolaty
isolating;izolacyjny
isolation;izolacja
isolationism;izolacjonizm
isolationist;izolacjonista
isolator;izolator
isolators;izolatory
isomer;izomer
isomeric;izomeryczny
isomers;izomery
isometric;izometryczny
isometrically;izometrycznie
isometry;izometria
isomorph;isomorph
isomorphic;izomorficzna
isomorphism;izomorfizm
isomorphisms;isomorphisms
isoperimetrical;isoperimetrical
isosceles;równoramienny
isostatic;izostatyczne
isothermal;izotermiczny
isothermally;izotermicznych
isotonic;izotoniczny
isotope;izotop
isotopes;izotopy
isotopic;izotopowy
isotropic;izotropowy
isotropically;izotropowo
isotropy;izotropowość
israel;izrael
israeli;izraelski
israelis;izraelczycy
issuable;emitowane
issuance;wydanie
issue;kwestia
issued;wydany
issuer;emitent
issuers;emitenci
issues;problemy
issuing;wydający
istanbul;stambuł
isthmus;przesmyk
it;to
italian;włoski
italians;włosi
italic;italski
italicisation;italicisation
italicise;kursywą
italicised;kursywy
italics;kursywa
italy;włochy
itch;swędzenie
itched;itched
itches;swędzi
itchier;itchier
itchiest;itchiest
itching;swędzący
itchy;swędzący
item;pozycja
itemise;wyszczególniały
itemised;szczegółowy
itemises;wymienione są
itemising;wyszczególniającą
items;przedmiotów
iterate;powtarzać
iterated;powtórzyć
iterates;iteracje
iterating;iteracja
iteration;iteracja
iterations;iteracje
iterative;wielokrotny
iteratively;iteracyjnie
iterators;iteratory
itinerant;wędrowny
itinerants;wędrownych
itineraries;trasy
itinerary;plan podróży
itll;będzie
its;jego
itself;samo
ive;ive
ivies;ivies
ivories;ivories
ivory;kość słoniowa
ivy;bluszcz
jab;ukłucie
jabbed;dźgnął
jabber;paplanie
jabbered;jabbered
jabbering;jabbering
jabbers;jabbers
jabbing;szturchanie
jabs;szturcha
jack;jacek
jackal;szakal
jackals;szakale
jackass;osioł
jackasses;osły
jackboot;but rybacki
jackbooted;jackbooted
jackboots;buty
jackdaw;kawka
jackdaws;kawki
jacked;jacked
jacket;kurtka
jackets;kurtki
jacking;jacking
jackinthebox;jackinthebox
jackpot;pula
jackpots;wygrane
jacks;gniazda
jacob;jakub
jacuzzi;jacuzzi
jade;jadeit
jaded;sterany
jadedly;jadedly
jadedness;jadedness
jades;jades
jag;występ
jagged;szczerbaty
jaggedly;jaggedly
jaguar;jaguar
jaguars;jaguary
jahweh;jahweh
jail;więzienie
jailbird;więzień
jailed;osadzony w więzieniu
jailer;strażnik więzienny
jailers;strażnicy
jailing;uwięzienie
jails;więzienia
jakarta;djakarta
jalopy;gruchot
jam;dżem
jamaica;jamajka
jamaican;jamajska
jamb;framuga
jamboree;jamboree
jambs;ościeży
james;james
jammed;zacięty
jamming;zagłuszanie
jams;zacina się
jangle;brzęk
jangled;zadzwonił
jangling;jangling
jangly;jangly
janitor;dozorca
janitors;dozorcy
january;styczeń
janus;janus
jap;jap
japan;japonia
jape;żart
japes;japes
japonica;japonica
jar;słoik
jargon;żargon
jargons;żargon
jarl;jarl
jarred;jarred
jarring;rażący
jars;słoiki
jasmine;jaśmin
jaundice;żółtaczka
jaundiced;chory z zazdrości
jaunt;wypad
jaunted;jaunted
jauntier;jauntier
jauntiest;jauntiest
jauntily;beztrosko
jaunting;powozem
jaunts;jaunts
jaunty;wesoły
java;jawa
javelin;oszczep
javelins;oszczepy
jaw;szczęka
jawbone;jawbone
jawbones;szczęka
jawed;szczękach
jawing;jawing
jawline;jawline
jaws;szczęki
jay;sójka
jays;sójki
jaywalk;chodzić nieprzepisowo
jaywalker;jaywalker
jaywalking;jaywalking
jazz;jazz
jazzed;jazzed
jazzier;bardziej jazzowy
jazziest;jazziest
jazzy;zgrzytliwy
jealous;zazdrosny
jealousies;zazdrość
jealously;zazdrośnie
jealousy;zazdrość
jeans;spodnie jeansowe
jeep;jeep
jeeps;jeepy
jeer;docinek
jeered;szydzili
jeering;jeering
jeeringly;jeeringly
jeerings;jeerings
jeers;jeers
jehad;święta wojna
jejune;jejune
jejunum;czcze
jell;galaretować
jellied;galaretowaty
jellies;galaretek
jellify;galaretować
jelly;galaretka
jellyfish;meduza
jemmy;łom
jennets;jennets
jeopardise;narazić
jeopardised;zagrożona
jeopardises;zagraża
jeopardising;zagrażając
jeopardy;niebezpieczeństwo
jerboas;skoczkowatych
jeremiah;jeremiah
jericho;jerycho
jerk;szarpnięcie
jerked;szarpnął
jerkier;jerkier
jerkiest;jerkiest
jerkily;jerkily
jerkin;kaftan
jerking;szarpanie
jerkings;jerkings
jerkins;jerkins
jerks;targanie
jerky;szarpany
jersey;golf
jerseys;koszulki
jest;żart
jested;jested
jester;błazen
jesters;błaznów
jesting;wesołkowaty
jestingly;żartobliwie
jests;żarty
jesuit;jezuita
jesus;jezus
jet;strumień
jetlagged;zmęczony po długiej podróży
jetplane;odrzutowiec
jetpropelled;jetpropelled
jets;dysze
jetsam;towar wyrzucony za bortę
jetsetting;jetsetting
jetted;wanna
jetties;pomostów
jetting;natryskiwania
jettison;wyrzucanie za bortę jako balast
jettisoned;jettisoned
jettisoning;zrzut
jetty;molo
jew;żyd
jewel;klejnot
jewelled;klejnotami
jeweller;jubiler
jewellers;jubilerzy
jewellery;biżuteria
jewelry;biżuteria
jewels;zebrane
jewess;żydówka
jewish;żydowski
jews;żydzi
jewsharp;jewsharp
jezebel;jezebel
jiffy;momencik
jiggle;skakać
jiggling;jiggling
jigs;przyrządy
jigsaw;puzzle
jigsaws;wyrzynarki
jihad;święta wojna
jilt;porzucić
jilted;jilted
jilting;jilting
jilts;jilts
jimmy;jimmy
jingle;brzęk
jingled;dzwoniły
jingles;jingle
jingling;jingling
jingo;szowinista
jingoism;szowinizm
jingoistic;jingoistic
jinked;jinked
jinks;jinks
jinx;pech
jinxed;jinxed
jinxes;jinxes
jitter;drganie
jitters;trema
jittery;roztrzęsiony
jiujitsu;jiu jitsu
jive;jive
jived;jived
jives;jives
job;praca
jobbing;dywersyfikację
jobless;bezrobotny
joblessness;bezrobocie
jobs;oferty pracy
jock;jock
jockey;oszukać
jockeying;jockeying
jockeys;dżokeje
jocular;dowcipny
jocularity;żartobliwość
jocularly;żartobliwie
joey;joey
jog;biec truchtem
jogged;jogged
jogger;uprawiający jogging
joggers;biegaczy
jogging;jogging
jogs;biega
john;jan
join;przystąp
joined;dołączył
joiner;stolarz
joiners;stolarstwo
joinery;stolarka
joining;łączący
joins;przyłącza
joint;połączenie
jointed;stykowo
jointing;łączenie
jointly;wspólnie
joints;stawy
jointures;jointures
joist;legar
joists;legary
joke;żart
joked;żartował
joker;żartowniś
jokers;jokers
jokes;dowcipy
jokey;jokey
jokier;jokier
jokily;jokily
joking;żartujesz
jokingly;żartobliwie
jollier;jollier
jolliest;jolliest
jollify;jollify
jollily;jollily
jollity;dobry humor
jolly;wesoły
jolt;wstrząs
jolted;trzęsła
jolting;telepiący się
jolts;wstrząsy
jonah;jonasz
jonathan;jonathan
joseph;joseph
joshua;joshua
jostle;popchnąć
jostled;jostled
jostles;jostles
jostling;przepychanki
jot;odrobina
jots;jots
jotted;zapisał
jotter;jotter
jotting;notował
jottings;jottings
joule;dżul
joules;dżuli
journal;dziennik
journalese;journalese
journalism;dziennikarstwo
journalist;dziennikarz
journalistic;publicystyczny
journalists;dziennikarze
journalled;ułożyskowane
